,night_lights,lst,ndvi,landsat0,landsat1,landsat2
2001,1.5376643473116014,15148.737613955034,0.34223433143739024,19.637827114165763,24.193768094211475,28.398301818741793
2002,1.5133164481042616,15112.955464654488,0.2207558511298502,23.68006929698011,28.108422662949213,33.214495145158935
2003,1.1964856502569257,15130.007391718404,0.3046668384036743,20.93090908722504,25.59405545379391,30.165436652023796
2004,1.4349418675333516,15150.647549642574,0.37447980459986163,24.636435095881083,29.21036694979819,34.14698910700102
2005,1.3395189735942035,15134.731709224197,0.2807652748573655,24.095596318749898,28.344890664764716,33.62988969217552
2006,1.3520429843899435,15147.751655568725,0.1357069900046331,22.285465546027783,26.092034210824917,31.093597647955132
2007,1.3066132620641584,15108.476672590004,0.3853861656608409,21.60054071906761,26.386521615794848,29.916670178794313
2008,1.0961320938224377,15131.067637135076,0.23821879324017986,24.900826660290804,28.882894384918384,33.47125366747176
2009,1.4439930054627093,15161.54590041497,0.2935997855817402,22.108138099560716,26.426612836556387,31.028524257995493
2010,1.9379106352628421,15171.6063118202,0.18886729555318837,23.015004457700474,27.64259081551604,32.1588432672513
2011,1.8075655687215315,15126.470807086933,0.2001575104284142,24.12129573195442,28.10757318733689,33.40175434828419
2012,1.993062967045436,15128.668094616718,0.310420263634246,21.66256090839831,25.69961023488029,30.544589567359907
